baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
2.6768673118810713,MS-GRU,temporal_tail_75pct_sensors_12steps,2.483294429267829,71,7.23132154343563,FAR-GF-RC,horizon_12
1.7676798831559792,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.642621938086374,71,7.074694137850872,FAR-GF-RC,overall
1.4862684242116804,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.3817422122623408,71,7.032795035310021,FAR-GF-RC,horizon_3
1.7967963496145816,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.7016130118918125,71,5.297391534838449,FAR-GF-RC,horizon_6
2.1583723466179237,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,2.008232914928089,71,6.956141368522294,FAR-GF-RC,horizon_12
1.797323624854573,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.6664375267909368,71,7.282277729711952,FAR-GF-RC,overall
1.5238556098816496,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.4108671902690657,71,7.414640788792262,FAR-GF-RC,horizon_3
1.8250956615541936,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.7240973176558667,71,5.533865759799125,FAR-GF-RC,horizon_6
2.1780722519685423,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,2.0244319623654743,71,7.053957437096398,FAR-GF-RC,horizon_12
1.847136386036426,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7052694729450744,71,7.680370229497176,FAR-GF-RC,overall
1.5881092229650424,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.4590413145895986,71,8.12714305219326,FAR-GF-RC,horizon_3
1.8715362463654275,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7585886010312282,71,6.03502312891597,FAR-GF-RC,horizon_6
2.209931622454577,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,2.050671563546459,71,7.206560478610062,FAR-GF-RC,horizon_12
1.7391486638554905,MS-GRU,clean_native_history,1.6292032545725197,101,6.321794770507693,FAR-GF-RC,overall
1.4536879879420996,MS-GRU,clean_native_history,1.3568117209268782,101,6.664171941900921,FAR-GF-RC,horizon_3
1.7648111391860568,MS-GRU,clean_native_history,1.6875228440000292,101,4.379408848341333,FAR-GF-RC,horizon_6
2.132263967031967,MS-GRU,clean_native_history,2.0096759841334912,101,5.749193570489947,FAR-GF-RC,horizon_12
1.752151462313142,MS-GRU,iid_random_10pct,1.6410307743817936,101,6.341956749826295,FAR-GF-RC,overall
1.4720340439811646,MS-GRU,iid_random_10pct,1.3712624229774177,101,6.845739839766657,FAR-GF-RC,horizon_3
1.77625195166417,MS-GRU,iid_random_10pct,1.6966375728813843,101,4.482155738559215,FAR-GF-RC,horizon_6
2.1390096152772378,MS-GRU,iid_random_10pct,2.0182277457209867,101,5.64662583532129,FAR-GF-RC,horizon_12
